IP_Address,Request_Type,Status_Code,User_Agent,Session_ID,Location,hour,minute,day_of_week,time_since_last,count_in_session,event_rate_per_minute,Anomaly_Flag
115.243.246.126,POST,404,Bot,3608,Germany,12,51,4,0.0,1,0.9999990000010001,0
34.135.17.23,DELETE,200,Safari,4326,Germany,17,13,5,0.0,1,0.9999990000010001,0
243.179.213.4,DELETE,301,Opera,1643,France,16,54,4,0.0,1,0.9999990000010001,0
215.205.39.115,DELETE,403,Safari,4359,China,19,10,4,0.0,1,0.9999990000010001,0
68.250.163.0,POST,403,Chrome,3244,France,15,32,3,0.0,1,0.9999990000010001,0
96.122.166.25,POST,404,Opera,3075,USA,16,31,0,0.0,1,0.9999990000010001,0
172.184.138.204,POST,403,Bot,1316,China,5,33,2,0.0,1,0.9999990000010001,0
3.179.223.146,GET,404,Safari,2434,Canada,20,42,4,0.0,1,0.9999990000010001,0
218.166.67.233,POST,301,Chrome,1785,Germany,6,11,0,0.0,1,1000000.0,0
92.224.232.158,POST,200,Edge,2209,France,20,2,1,0.0,1,0.9999990000010001,0
255.85.48.13,GET,500,Opera,4610,USA,18,45,4,0.0,1,0.9999990000010001,0
111.12.71.217,GET,404,Bot,1359,Canada,22,35,4,0.0,1,0.9999990000010001,0
146.160.154.21,DELETE,301,Edge,1852,Germany,6,34,2,0.0,1,0.9999990000010001,0
19.246.46.181,PUT,200,Chrome,3573,India,0,15,6,0.0,1,1000000.0,0
140.53.39.24,GET,403,Edge,3788,India,23,34,0,0.0,1,0.9999990000010001,0
204.207.151.86,GET,200,Firefox,2884,Brazil,14,15,0,0.0,1,0.9999990000010001,0
171.219.114.248,GET,500,Bot,2496,India,3,15,5,0.0,1,0.9999990000010001,0
186.200.222.140,GET,301,Bot,3750,India,1,59,2,0.0,1,0.9999990000010001,0
156.207.61.55,POST,200,Opera,2771,India,14,33,2,0.0,1,0.9999990000010001,0
98.246.233.141,DELETE,500,Chrome,4690,France,17,33,0,0.0,1,0.9999990000010001,0
