dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
8.2e-05,tcp,-,REJ,1,1,0.0,0.0,24390.243902439022,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,100,100,1,1,100,0,0,0,100,1,0,Reconnaissance,1
0.015178,tcp,http,SH,5,0,452.0,0.0,329.4241665568586,0,0,238239.55725392007,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,1.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Exploits,1
0.004186,tcp,http,SH,5,0,442.0,0.0,1194.4577161968468,0,0,844720.49689441,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,88,0,1.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Exploits,1
0.000295,tcp,-,S0,2,0,0.0,0.0,6779.661016949152,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
9.8e-05,tcp,-,REJ,1,1,0.0,0.0,20408.163265306124,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,100,100,1,1,100,0,0,0,100,1,0,Reconnaissance,1
0.007938,tcp,http,SH,5,0,375.0,0.0,629.8815822625346,0,0,377928.94935752073,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,75,0,1.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Exploits,1
3.000453,tcp,-,S0,3,0,0.0,0.0,0.9998490227975576,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.000238,tcp,-,REJ,1,1,0.0,0.0,8403.361344537814,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1,100,100,1,1,100,0,0,0,100,1,0,Reconnaissance,1
3.001268,tcp,-,S0,3,0,0.0,0.0,0.999577511904968,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.010266,tcp,http,SH,5,0,481.0,0.0,487.044613286577,0,0,374829.53438534966,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,96,0,1.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Exploits,1
0.0,tcp,-,S0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.008533,tcp,http,SH,5,0,382.0,0.0,585.9603890776983,0,0,358138.9898042892,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,76,0,1.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Exploits,1
0.0,tcp,-,S0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.0,tcp,-,S0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
3.000537,tcp,-,S0,3,0,0.0,0.0,0.9998210320352656,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.000119,tcp,-,RSTR,1,1,0.0,0.0,16806.72268907563,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,100,100,100,100,1,100,0,0,0,100,1,0,DoS,1
0.568414,tcp,http,SH,106,0,13673.0,0.0,186.4837952619042,0,0,192437.2024615861,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,128,0,100.0,0.0,100,100,100,100,1,100,0,0,100,100,1,0,Fuzzers,1
