dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
0.181932,tcp,http,SH,105,0,21366.0,0.0,577.1387111668096,0,0,939515.8630697184,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,203,0,80.0,0.0,1,1,1,1,1,1,0,0,1,1,1,0,Analysis,1
0.186911,tcp,http,SH,105,0,21451.0,0.0,561.7646901466474,0,0,918126.8090160558,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,204,0,80.0,0.0,2,2,2,2,1,2,0,0,2,2,1,0,Analysis,1
0.053574,tcp,http,SH,32,0,5979.0,0.0,597.3046627095233,0,0,892821.14458506,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,186,0,5.0,0.0,3,3,3,3,1,3,0,0,3,3,1,0,Analysis,1
0.1163,tcp,http,SH,67,0,12772.0,0.0,576.0963026655202,0,0,878555.460017197,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,190,0,55.0,0.0,4,4,4,4,1,4,0,0,4,4,1,0,Analysis,1
0.173962,tcp,http,SH,106,0,21284.0,0.0,609.3284740345592,0,0,978788.4710454008,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,200,0,80.0,0.0,5,5,5,5,1,5,0,0,5,5,1,0,Analysis,1
0.191926,tcp,http,SH,105,0,21296.0,0.0,547.0858560070027,0,0,887675.4582495337,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,202,0,80.0,0.0,6,6,6,6,1,6,0,0,6,6,1,0,Analysis,1
0.162921,tcp,http,SH,105,0,21350.0,0.0,644.4841364833262,0,0,1048360.8620128774,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,203,0,80.0,0.0,7,7,7,7,1,7,0,0,7,7,1,0,Analysis,1
0.167571,tcp,http,SH,105,0,21338.0,0.0,626.6000680308646,0,0,1018696.552506102,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,203,0,80.0,0.0,8,8,8,8,1,8,0,0,8,8,1,0,Analysis,1
0.106243,tcp,http,SH,65,0,13017.0,0.0,611.8050130361529,0,0,980168.1051928126,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,200,0,55.0,0.0,9,9,9,9,1,9,0,0,9,9,1,0,Analysis,1
0.060752,tcp,http,SH,31,0,5633.0,0.0,510.2712667895707,0,0,741769.8182775875,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,181,0,5.0,0.0,10,10,10,10,1,10,0,0,10,10,1,0,Analysis,1
0.147334,tcp,http,SH,76,0,16328.0,0.0,515.8347699784164,0,0,886584.2236007983,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,214,0,69.0,0.0,11,11,11,11,1,11,0,0,11,11,1,0,Analysis,1
0.18194,tcp,http,SH,105,0,22508.0,0.0,577.1133340661756,0,0,989688.9084313512,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,214,0,80.0,0.0,12,12,12,12,1,12,0,0,12,12,1,0,Analysis,1
0.053292,tcp,http,SH,34,0,6626.0,0.0,637.9944456954139,0,0,994670.8699241912,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,194,0,10.0,0.0,13,13,13,13,1,13,0,0,13,13,1,0,Analysis,1
0.172581,tcp,http,SH,105,0,22524.0,0.0,608.4099640168964,0,0,1044101.0308203103,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,214,0,80.0,0.0,14,14,14,14,1,14,0,0,14,14,1,0,Analysis,1
0.187606,tcp,http,SH,105,0,22660.0,0.0,559.6835922092044,0,0,966280.3961493768,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,215,0,80.0,0.0,15,15,15,15,1,15,0,0,15,15,1,0,Analysis,1
0.069573,tcp,http,SH,42,0,7956.0,0.0,603.6824630244491,0,0,914837.6525376224,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,189,0,10.0,0.0,16,16,16,16,1,16,0,0,16,16,1,0,Analysis,1
0.078037,tcp,http,SH,49,0,11366.0,0.0,627.9072747542832,0,0,1165190.8709970913,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,231,0,10.0,0.0,17,17,17,17,1,17,0,0,17,17,1,0,Analysis,1
