ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761583335.461834,Ca2i2k4d0mdt8YmqEa,192.168.255.112,61514,192.168.255.221,80,tcp,http,0.181932,21366.0,0.0,SH,T,T,0,ScADccF,105,25578,0,0,,6,80.0,0.0,GET,,Analysis,1,577.1387111668096,939515.8630697184,0.0,203,0,0,0,1,1,1,1,1,1,1,1,0,1
1761583335.644628,COFI6BNIGhU63CWf1,192.168.255.112,61516,192.168.255.221,80,tcp,http,0.186911,21451.0,0.0,SH,T,T,0,ScADccF,105,25663,0,0,,6,80.0,0.0,GET,,Analysis,1,561.7646901466474,918126.8090160558,0.0,204,0,0,0,2,1,2,2,2,1,2,2,0,2
1761583335.832608,CcKydJ3PgEPjE5ouu4,192.168.255.112,61518,192.168.255.221,80,tcp,http,0.053574,5979.0,0.0,SH,T,T,0,ScADcF,32,7271,0,0,,6,5.0,0.0,GET,,Analysis,1,597.3046627095233,892821.14458506,0.0,186,0,0,0,3,1,3,3,3,1,3,3,0,3
1761583335.888689,CcnYMZ3BrChO7Yapog,192.168.255.112,61519,192.168.255.221,80,tcp,http,0.1163,12772.0,0.0,SH,T,T,0,ScADcF,67,15464,0,0,,6,55.0,0.0,GET,,Analysis,1,576.0963026655202,878555.460017197,0.0,190,0,0,0,4,1,4,4,4,1,4,4,0,4
1761583336.005834,CbGYtk2oD227hGhwEb,192.168.255.112,61520,192.168.255.221,80,tcp,http,0.173962,21284.0,0.0,SH,T,T,0,ScADccF,106,25536,0,0,,6,80.0,0.0,GET,,Analysis,1,609.3284740345592,978788.4710454007,0.0,200,0,0,0,5,1,5,5,5,1,5,5,0,5
1761583336.180613,CObfHL8EOWZJdngfk,192.168.255.112,61523,192.168.255.221,80,tcp,http,0.191926,21296.0,0.0,SH,T,T,0,ScADccF,105,25508,0,0,,6,80.0,0.0,GET,,Analysis,1,547.0858560070027,887675.4582495337,0.0,202,0,0,0,6,1,6,6,6,1,6,6,0,6
1761583336.373447,CJz1542r5EcGEPBT5g,192.168.255.112,61524,192.168.255.221,80,tcp,http,0.162921,21350.0,0.0,SH,T,T,0,ScADccF,105,25562,0,0,,6,80.0,0.0,GET,,Analysis,1,644.4841364833262,1048360.8620128774,0.0,203,0,0,0,7,1,7,7,7,1,7,7,0,7
1761583336.537052,CrIE7c9xG1LfXUCP7,192.168.255.112,61525,192.168.255.221,80,tcp,http,0.167571,21338.0,0.0,SH,T,T,0,ScADccF,105,25550,0,0,,6,80.0,0.0,GET,,Analysis,1,626.6000680308646,1018696.5525061019,0.0,203,0,0,0,8,1,8,8,8,1,8,8,0,8
1761583336.705812,ClKwQP1o35OfPnlVB8,192.168.255.112,61527,192.168.255.221,80,tcp,http,0.106243,13017.0,0.0,SH,T,T,0,ScADcF,65,15629,0,0,,6,55.0,0.0,GET,,Analysis,1,611.8050130361529,980168.1051928126,0.0,200,0,0,0,9,1,9,9,9,1,9,9,0,9
1761583336.812506,CAF3BQ3Ciq0YhENwhf,192.168.255.112,61528,192.168.255.221,80,tcp,http,0.060752,5633.0,0.0,SH,T,T,0,ScADcF,31,6885,0,0,,6,5.0,0.0,GET,,Analysis,1,510.2712667895707,741769.8182775875,0.0,181,0,0,0,10,1,10,10,10,1,10,10,0,10
1761583336.874341,CO1nqIUuMYuG3XHEl,192.168.255.112,61529,192.168.255.221,80,tcp,http,0.147334,16328.0,0.0,SH,T,T,0,ScADcF,76,19380,0,0,,6,69.0,0.0,GET,,Analysis,1,515.8347699784164,886584.2236007983,0.0,214,0,0,0,11,1,11,11,11,1,11,11,0,11
1761583337.024591,Cjg6YE12dBbxfA4wxg,192.168.255.112,61530,192.168.255.221,80,tcp,http,0.18194,22508.0,0.0,SH,T,T,0,ScADccF,105,26720,0,0,,6,80.0,0.0,GET,,Analysis,1,577.1133340661756,989688.9084313511,0.0,214,0,0,0,12,1,12,12,12,1,12,12,0,12
1761583337.207109,CjfIgE4K56eQsjolM,192.168.255.112,61531,192.168.255.221,80,tcp,http,0.053292,6626.0,0.0,SH,T,T,0,ScADcF,34,7998,0,0,,6,10.0,0.0,GET,,Analysis,1,637.9944456954139,994670.8699241913,0.0,194,0,0,0,13,1,13,13,13,1,13,13,0,13
1761583337.261736,CxpKi83R3RDtT3BSV4,192.168.255.112,61532,192.168.255.221,80,tcp,http,0.172581,22524.0,0.0,SH,T,T,0,ScADccF,105,26736,0,0,,6,80.0,0.0,GET,,Analysis,1,608.4099640168964,1044101.0308203103,0.0,214,0,0,0,14,1,14,14,14,1,14,14,0,14
1761583337.434983,C7n3RaRqt3byJJYna,192.168.255.112,61533,192.168.255.221,80,tcp,http,0.187606,22660.0,0.0,SH,T,T,0,ScADccF,105,26872,0,0,,6,80.0,0.0,GET,,Analysis,1,559.6835922092044,966280.3961493769,0.0,215,0,0,0,15,1,15,15,15,1,15,15,0,15
1761583337.623376,CaW9yf3Wfw0MOC79Vg,192.168.255.112,61534,192.168.255.221,80,tcp,http,0.069573,7956.0,0.0,SH,T,T,0,ScADcF,42,9648,0,0,,6,10.0,0.0,GET,,Analysis,1,603.6824630244491,914837.6525376224,0.0,189,0,0,0,16,1,16,16,16,1,16,16,0,16
1761583337.693876,CBCgOJ3pR1X4YLjfA5,192.168.255.112,61535,192.168.255.221,80,tcp,http,0.078037,11366.0,0.0,SH,T,T,0,ScADcF,49,13338,0,0,,6,10.0,0.0,GET,,Analysis,1,627.9072747542832,1165190.8709970913,0.0,231,0,0,0,17,1,17,17,17,1,17,17,0,17
1761583337.772859,CmUIjG2ETpZx4afrB6,192.168.255.112,61536,192.168.255.221,80,tcp,http,0.002479,229.0,0.0,SH,T,T,0,ScADF,5,441,0,0,,6,1.0,0.0,GET,,Analysis,1,2016.9423154497783,739007.6643807987,0.0,45,0,0,0,18,1,18,18,18,1,18,18,0,18
1761583337.776119,CtmRrx2IdBUFG9Nuld,192.168.255.112,61537,192.168.255.221,80,tcp,http,0.027321,4108.0,0.0,SH,T,T,0,ScADcF,20,4920,0,0,,6,5.0,0.0,GET,,Analysis,1,732.0376267340141,1202884.228249332,0.0,205,0,0,0,19,1,19,19,19,1,19,19,0,19
1761583337.804126,ChtNII1R1sE7NeR5Wb,192.168.255.112,61538,192.168.255.221,80,tcp,http,0.076186,9647.0,0.0,SH,T,T,0,ScADcF,41,11299,0,0,,6,10.0,0.0,GET,,Analysis,1,538.1566167012312,1012994.5134276638,0.0,235,0,0,0,20,1,20,20,20,1,20,20,0,20
1761583337.881003,CDjEmbeqX1ij31BK8,192.168.255.112,61539,192.168.255.221,80,tcp,http,0.007497,926.0,0.0,SH,T,T,0,ScADF,8,1258,0,0,,6,2.0,0.0,GET,,Analysis,1,1067.093504068294,988128.5847672402,0.0,115,0,0,0,21,1,21,21,21,1,21,21,0,21
1761583337.89109,CWsHCpaXRzML7Tl36,192.168.255.112,61540,192.168.255.221,80,tcp,http,0.001958,258.0,0.0,SH,T,T,0,ScADF,5,470,0,0,,6,1.0,0.0,GET,,Analysis,1,2553.626149131767,1054136.8743615935,0.0,51,0,0,0,22,1,22,22,22,1,22,22,0,22
1761583337.893958,CIMW612B0PXAJAzoti,192.168.255.112,61541,192.168.255.221,80,tcp,http,0.186659,27672.0,0.0,SH,T,T,0,ScADccF,105,31884,0,0,,6,80.0,0.0,GET,,Analysis,1,562.5231036274704,1185991.5675108086,0.0,263,0,0,0,23,1,23,23,23,1,23,23,0,23
1761583338.081609,COwVZT1BqbqXecuVq1,192.168.255.112,61546,192.168.255.221,80,tcp,http,0.178472,28691.0,0.0,SH,T,T,0,ScADccF,105,32903,0,0,,6,80.0,0.0,GET,,Analysis,1,588.3275807969878,1286072.885382581,0.0,273,0,0,0,24,1,24,24,24,1,24,24,0,24
1761583338.260503,Ch5nHP3jRCpTYYLL52,192.168.255.112,61549,192.168.255.221,80,tcp,http,0.187881,23548.0,0.0,SH,T,T,0,ScADccF,106,27800,0,0,,6,80.0,0.0,GET,,Analysis,1,564.1869055412735,1002677.2265423327,0.0,222,0,0,0,25,1,25,25,25,1,25,25,0,25
1761583338.448958,ClP8YERgbmsG3CoS5,192.168.255.112,61554,192.168.255.221,80,tcp,http,0.169255,24362.0,0.0,SH,T,T,0,ScADccF,105,28574,0,0,,6,80.0,0.0,GET,,Analysis,1,620.3657203627663,1151493.3089125876,0.0,232,0,0,0,26,1,26,26,26,1,26,26,0,26
1761583338.619174,CgJ2Jx1nq39uXGdPR4,192.168.255.112,61555,192.168.255.221,80,tcp,http,0.031101,4189.0,0.0,SH,T,T,0,ScADcF,22,5081,0,0,,6,5.0,0.0,GET,,Analysis,1,707.3727532876757,1077521.6230989357,0.0,190,0,0,0,27,1,27,27,27,1,27,27,0,27
1761583338.651187,CaAUgc30FGun6ToNdk,192.168.255.112,61557,192.168.255.221,80,tcp,http,0.166695,22455.0,0.0,SH,T,T,0,ScADccF,105,26667,0,0,,6,80.0,0.0,GET,,Analysis,1,629.8929182039053,1077656.7983442815,0.0,213,0,0,0,28,1,28,28,28,1,28,28,0,28
1761583338.818676,Ctgc1RBN6asWi1QQ8,192.168.255.112,61558,192.168.255.221,80,tcp,http,0.193403,32906.0,0.0,SH,T,T,0,ScADccF,105,37118,0,0,,6,80.0,0.0,GET,,Analysis,1,542.9078142531398,1361137.1074905768,0.0,313,0,0,0,29,1,29,29,29,1,29,29,0,29
1761583339.013363,CPiLZ32lBBYYOdZ4d4,192.168.255.112,61559,192.168.255.221,80,tcp,http,0.088397,10976.0,0.0,SH,T,T,0,ScADcF,53,13108,0,0,,6,10.0,0.0,GET,,Analysis,1,599.5678586377365,993336.8779483467,0.0,207,0,0,0,30,1,30,30,30,1,30,30,0,30
1761583339.102683,CX1BIM1dzYZ6aeffZ4,192.168.255.112,61560,192.168.255.221,80,tcp,http,0.002158,238.0,0.0,SH,T,T,0,ScADF,5,450,0,0,,6,1.0,0.0,GET,,Analysis,1,2316.960148285449,882298.4244670991,0.0,47,0,0,0,31,1,31,31,31,1,31,31,0,31
1761583339.105377,CdcfkD3KCFD62fnHK4,192.168.255.112,61561,192.168.255.221,80,tcp,http,0.178564,21617.0,0.0,SH,T,T,0,ScADccF,105,25829,0,0,,6,80.0,0.0,GET,,Analysis,1,588.0244618176116,968481.888846576,0.0,205,0,0,0,32,1,32,32,32,1,32,32,0,32
1761583339.28482,CfDMEF3DqLhq5a5jY4,192.168.255.112,61562,192.168.255.221,80,tcp,http,0.192028,21026.0,0.0,SH,T,T,0,ScADccF,106,25278,0,0,,6,80.0,0.0,GET,,Analysis,1,552.0028329201991,875955.5898098194,0.0,198,0,0,0,33,1,33,33,33,1,33,33,0,33
1761583339.477544,CIE10u2NOiiMNhQiU4,192.168.255.112,61563,192.168.255.221,80,tcp,http,0.175206,21194.0,0.0,SH,T,T,0,ScADccF,105,25406,0,0,,6,80.0,0.0,GET,,Analysis,1,599.294544707373,967729.4156592811,0.0,201,0,0,0,34,1,34,34,34,1,34,34,0,34
1761583339.653656,CSajut1GzWiZS4JMN7,192.168.255.112,61564,192.168.255.221,80,tcp,http,0.17768,20894.0,0.0,SH,T,T,0,ScADccF,105,25106,0,0,,6,80.0,0.0,GET,,Analysis,1,590.9500225123818,940747.4110760918,0.0,198,0,0,0,35,1,35,35,35,1,35,35,0,35
1761583339.832301,CTNbXa2cJf6JjpiITi,192.168.255.112,61565,192.168.255.221,80,tcp,http,0.188367,21517.0,0.0,SH,T,T,0,ScADccF,105,25729,0,0,,6,80.0,0.0,GET,,Analysis,1,557.4224784596028,913833.1024011637,0.0,204,0,0,0,36,1,36,36,36,1,36,36,0,36
1761583340.023073,C2f26k18rYvPi9FqZe,192.168.255.112,61566,192.168.255.221,80,tcp,http,0.165855,21913.0,0.0,SH,T,T,0,ScADcFc,100,25925,0,0,,6,80.0,0.0,GET,,Analysis,1,602.9362997799283,1056971.4509662054,0.0,219,0,0,0,37,1,37,37,37,1,37,37,0,37
1761583340.190105,CgNIZ739Ieha0kpE69,192.168.255.112,61567,192.168.255.221,80,tcp,http,0.002302,355.0,0.0,SH,T,T,0,ScADF,5,567,0,0,,6,1.0,,GET,,Analysis,1,2172.0243266724588,1233709.8175499567,0.0,71,0,0,0,38,1,38,38,38,1,38,38,0,38
