dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
3.072213,udp,,S0,4,0,680.0,0.0,1.301993058424009,0,0,1770.7105594566522,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,170,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1
0.424032,udp,dns,S0,2,0,56.0,0.0,4.716625160365255,0,0,1056.5240359218171,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,28,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,DoS,1
0.002669,tcp,,SH,4,0,0.0,0.0,1498.6886474334958,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,1
0.004315,tcp,,SH,4,0,0.0,0.0,926.9988412514484,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2,2,2,2,1,2,0,0,0,2,1,0,DoS,1
0.004315,tcp,,SH,4,0,0.0,0.0,926.9988412514484,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,3,3,3,3,1,3,0,0,0,3,1,0,DoS,1
0.003442,tcp,,SH,4,0,0.0,0.0,1162.1150493898897,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,4,4,4,4,1,4,0,0,0,4,1,0,DoS,1
0.003149,tcp,,SH,4,0,0.0,0.0,1270.2445220704983,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,5,5,5,5,1,5,0,0,0,5,1,0,DoS,1
0.003149,tcp,,SH,4,0,0.0,0.0,1270.2445220704983,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6,6,6,6,1,6,0,0,0,6,1,0,DoS,1
0.003211,tcp,,SH,4,0,0.0,0.0,1245.7178449081284,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,7,7,7,7,1,7,0,0,0,7,1,0,DoS,1
0.003149,tcp,,SH,4,0,0.0,0.0,1270.2445220704983,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,8,8,8,8,1,8,0,0,0,8,1,0,DoS,1
