ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761330262.661936,CHbRd43krZap2GEYUe,192.168.255.118,63380,239.255.255.250,1900,udp,,3.072213,680.0,0.0,S0,T,T,0,D,4,792,0,0,,17,,DoS,1,1.301993058424009,1770.7105594566522,0.0,170,0,0,0,1,1,1,1,1,1,1,1,0,0
1761330286.696861,CKl5lF1jhKWNFNozM3,192.168.255.117,64330,224.0.0.252,5355,udp,dns,0.424032,56.0,0.0,S0,T,T,0,D,2,112,0,0,,17,n03-kabyte,DoS,1,4.716625160365255,1056.5240359218171,0.0,28,0,0,0,1,1,1,1,1,1,1,2,0,0
1761330290.335208,Ck5eXu3h4tLPMM4Qtc,192.168.255.112,65420,192.168.255.221,80,tcp,,0.002669,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1498.6886474334958,0.0,0.0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
1761330290.335208,CMCA7w4Pqi6Gsqhsgb,192.168.255.112,65423,192.168.255.221,80,tcp,,0.004315,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,926.9988412514484,0.0,0.0,0,0,0,0,2,1,2,2,2,1,2,2,0,0
1761330290.335208,CzM1oG1QdZhUWUFZdl,192.168.255.112,65421,192.168.255.221,80,tcp,,0.004315,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,926.9988412514484,0.0,0.0,0,0,0,0,3,1,3,3,3,1,3,3,0,0
1761330290.335208,CojDc3ejXHYRncVr9,192.168.255.112,65422,192.168.255.221,80,tcp,,0.003442,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1162.1150493898895,0.0,0.0,0,0,0,0,4,1,4,4,4,1,4,4,0,0
1761330290.336662,CiMEV51itx6iNBpPI7,192.168.255.112,65427,192.168.255.221,80,tcp,,0.003149,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1270.2445220704985,0.0,0.0,0,0,0,0,5,1,5,5,5,1,5,5,0,0
1761330290.336662,C3PuEs23tQHiialh71,192.168.255.112,65425,192.168.255.221,80,tcp,,0.003149,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1270.2445220704985,0.0,0.0,0,0,0,0,6,1,6,6,6,1,6,6,0,0
1761330290.336662,CE8ECs4QZaDIXNH0O8,192.168.255.112,65428,192.168.255.221,80,tcp,,0.003211,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1245.7178449081284,0.0,0.0,0,0,0,0,7,1,7,7,7,1,7,7,0,0
1761330290.336662,CE8Ldh32H04nI2zL49,192.168.255.112,65429,192.168.255.221,80,tcp,,0.003149,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1270.2445220704985,0.0,0.0,0,0,0,0,8,1,8,8,8,1,8,8,0,0
1761330290.336662,CoBV7W3gJVlvOzmCC4,192.168.255.112,65424,192.168.255.221,80,tcp,,0.003149,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1270.2445220704985,0.0,0.0,0,0,0,0,9,1,9,9,9,1,9,9,0,0
1761330290.336662,CUnPVL1mePFSLI3yQe,192.168.255.112,65426,192.168.255.221,80,tcp,,0.003149,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1270.2445220704985,0.0,0.0,0,0,0,0,10,1,10,10,10,1,10,10,0,0
1761330290.337012,C5ZhMKJxN1xDmn2ii,192.168.255.112,65430,192.168.255.221,80,tcp,,0.002861,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1398.112548060119,0.0,0.0,0,0,0,0,11,1,11,11,11,1,11,11,0,0
1761330290.337246,COHthm4XEIWMrlriL7,192.168.255.112,65431,192.168.255.221,80,tcp,,0.002627,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1522.6494099733536,0.0,0.0,0,0,0,0,12,1,12,12,12,1,12,12,0,0
1761330290.338435,CAAAcE3VOLygY16Iz9,192.168.255.112,65433,192.168.255.221,80,tcp,,0.001438,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2781.641168289291,0.0,0.0,0,0,0,0,13,1,13,13,13,1,13,13,0,0
1761330290.338435,CoS0c33sAcPPavh6kc,192.168.255.112,65432,192.168.255.221,80,tcp,,0.002213,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1807.501129688206,0.0,0.0,0,0,0,0,14,1,14,14,14,1,14,14,0,0
1761330290.33865,C93XKP2T70hfhCHShh,192.168.255.112,65434,192.168.255.221,80,tcp,,0.002817,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1419.950301739439,0.0,0.0,0,0,0,0,15,1,15,15,15,1,15,15,0,0
1761330290.338814,C2OHZKiF1g0ewRGcb,192.168.255.112,65435,192.168.255.221,80,tcp,,0.00215,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1860.4651162790697,0.0,0.0,0,0,0,0,16,1,16,16,16,1,16,16,0,0
1761330290.338984,ClmlcJ1CUFzOb3GM07,192.168.255.112,65436,192.168.255.221,80,tcp,,0.001664,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2403.846153846154,0.0,0.0,0,0,0,0,17,1,17,17,17,1,17,17,0,0
1761330290.338984,CVLz4Z3ry5AyTqeNP3,192.168.255.112,65437,192.168.255.221,80,tcp,,0.001664,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2403.846153846154,0.0,0.0,0,0,0,0,18,1,18,18,18,1,18,18,0,0
1761330290.339523,CXQNBa3vhsq74Qusrd,192.168.255.112,65438,192.168.255.221,80,tcp,,0.001944,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2057.61316872428,0.0,0.0,0,0,0,0,19,1,19,19,19,1,19,19,0,0
1761330290.339523,C3SfnC1EjjIKThsJK7,192.168.255.112,65439,192.168.255.221,80,tcp,,0.001944,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2057.61316872428,0.0,0.0,0,0,0,0,20,1,20,20,20,1,20,20,0,0
1761330290.340648,CtjLdy1u4L7T0InIKg,192.168.255.112,65440,192.168.255.221,80,tcp,,0.00142,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2816.9014084507044,0.0,0.0,0,0,0,0,21,1,21,21,21,1,21,21,0,0
1761330290.340648,CoUm134pjzuPJsrsd4,192.168.255.112,65441,192.168.255.221,80,tcp,,0.001263,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3167.0625494853525,0.0,0.0,0,0,0,0,22,1,22,22,22,1,22,22,0,0
1761330290.340648,CCwIWG5O7bcpC4cT3,192.168.255.112,65442,192.168.255.221,80,tcp,,0.001584,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2525.2525252525256,0.0,0.0,0,0,0,0,23,1,23,23,23,1,23,23,0,0
1761330290.340964,CtSZlB17y2yWeqAvq6,192.168.255.112,65443,192.168.255.221,80,tcp,,0.001268,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3154.5741324921137,0.0,0.0,0,0,0,0,24,1,24,24,24,1,24,24,0,0
1761330290.340964,CUhSlh1cScmOnJM8dg,192.168.255.112,65444,192.168.255.221,80,tcp,,0.001459,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2741.6038382453735,0.0,0.0,0,0,0,0,25,1,25,25,25,1,25,25,0,0
1761330290.341467,CcB04w3vnuaUGrTk18,192.168.255.112,65445,192.168.255.221,80,tcp,,0.000956,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4184.100418410042,0.0,0.0,0,0,0,0,26,1,26,26,26,1,26,26,0,0
1761330290.341751,C6JqkD253m38o8XgN9,192.168.255.112,65446,192.168.255.221,80,tcp,,0.000672,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,5952.380952380952,0.0,0.0,0,0,0,0,27,1,27,27,27,1,27,27,0,0
1761330290.342423,CczWVwBYrRrxPIck5,192.168.255.112,65447,192.168.255.221,80,tcp,,0.001204,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3322.2591362126245,0.0,0.0,0,0,0,0,28,1,28,28,28,1,28,28,0,0
1761330290.342707,Cr6cba2PZ5bzL1t959,192.168.255.112,65448,192.168.255.221,80,tcp,,0.001121,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3568.242640499554,0.0,0.0,0,0,0,0,29,1,29,29,29,1,29,29,0,0
1761330290.342707,C1gWMQnqNjjryoWdd,192.168.255.112,65449,192.168.255.221,80,tcp,,0.002002,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1998.0019980019981,0.0,0.0,0,0,0,0,30,1,30,30,30,1,30,30,0,0
1761330290.343366,C3sQXH1UHV7CgbrXM5,192.168.255.112,65450,192.168.255.221,80,tcp,,0.001475,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2711.8644067796613,0.0,0.0,0,0,0,0,31,1,31,31,31,1,31,31,0,0
1761330290.343627,CtiyEO2pUEfwrsOwOj,192.168.255.112,65451,192.168.255.221,80,tcp,,0.001214,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3294.8929159802306,0.0,0.0,0,0,0,0,32,1,32,32,32,1,32,32,0,0
1761330290.343627,CZIWm01SNwmxodG0fi,192.168.255.112,65452,192.168.255.221,80,tcp,,0.001337,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2991.7726252804787,0.0,0.0,0,0,0,0,33,1,33,33,33,1,33,33,0,0
1761330290.344075,CONPC92AaY2LCzeSai,192.168.255.112,65454,192.168.255.221,80,tcp,,0.001168,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,3424.6575342465753,0.0,0.0,0,0,0,0,34,1,34,34,34,1,34,34,0,0
1761330290.344075,Cq2hRw4culk5v23Gwl,192.168.255.112,65453,192.168.255.221,80,tcp,,0.000889,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,4499.437570303712,0.0,0.0,0,0,0,0,35,1,35,35,35,1,35,35,0,0
1761330290.346261,C9gIN03xpLL1FdX8i9,192.168.255.112,65455,192.168.255.221,80,tcp,,0.001355,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2952.029520295203,0.0,0.0,0,0,0,0,36,1,36,36,36,1,36,36,0,0
1761330290.346261,CjZ5gR2r0Htv6HS69c,192.168.255.112,65456,192.168.255.221,80,tcp,,0.001355,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2952.029520295203,0.0,0.0,0,0,0,0,37,1,37,37,37,1,37,37,0,0
1761330290.346826,ChZ0v6kYDaGZZkXm8,192.168.255.112,65457,192.168.255.221,80,tcp,,0.002696,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,1483.679525222552,0.0,0.0,0,0,0,0,38,1,38,38,38,1,38,38,0,0
1761330290.346826,CDn9O629ANAmrnseBf,192.168.255.112,65458,192.168.255.221,80,tcp,,0.001341,0.0,0.0,SH,T,T,0,ScAF,4,172,0,0,,6,,DoS,1,2982.848620432513,0.0,0.0,0,0,0,0,39,1,39,39,39,1,39,39,0,0
