ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761337011.394784,Cz1qd021FczNYjE8i1,192.168.255.112,62399,239.255.255.250,3702,udp,,6.644454,4592.0,0.0,S0,T,T,0,D,7,4788,0,0,,17,,,,,Fuzzers,1,1.0535101906040738,5528.821480290179,0.0,656,0,0,0,1,1,1,1,1,1,1,1,0,0
1761337100.41684,C4X3i32d5pNAQFG5b8,192.168.255.117,5353,224.0.0.251,5353,udp,dns,1.017028,66.0,0.0,S0,T,T,0,D,2,122,0,0,,17,,,,_ndi._tcp.local,Fuzzers,1,1.9665141962659827,519.1597478142195,0.0,33,0,0,0,1,1,1,1,1,1,1,2,0,0
1761337151.354987,CFt1j8xdBh3BPNp4h,192.168.255.112,60405,192.168.255.221,80,tcp,http,0.080612,791.0,0.0,SH,T,T,0,ScADF,10,1203,0,0,,6,3.0,0.0,GET,,Fuzzers,1,124.05100977521957,78499.47898575893,0.0,79,0,0,0,1,1,1,2,1,1,1,1,0,1
1761337151.357694,CELtTkDX7Gxrrjife,192.168.255.112,60406,192.168.255.221,80,tcp,http,0.351987,7966.0,0.0,SH,T,T,0,ScADcF,64,10538,0,0,,6,30.0,0.0,GET,,Fuzzers,1,181.8248969422166,181052.1411302122,0.0,124,0,0,0,2,1,2,3,2,1,2,2,0,2
1761337151.35966,CsXQaViWcaZ6fv3ul,192.168.255.112,60408,192.168.255.221,80,tcp,http,0.655944,13500.0,0.0,SH,T,T,0,ScADccF,105,17712,0,0,,6,100.0,0.0,GET,,Fuzzers,1,160.07464051809302,164648.20167575282,0.0,128,0,0,0,3,1,3,4,3,1,3,3,0,3
1761337151.35966,CVaU8I3vnYUvkE8A,192.168.255.112,60407,192.168.255.221,80,tcp,http,0.356879,6107.0,0.0,SH,T,T,0,ScADcF,50,8119,0,0,,6,42.0,0.0,GET,,Fuzzers,1,140.10350847205916,136897.94019821845,0.0,122,0,0,0,4,1,4,5,4,1,4,4,0,4
1761337151.360023,CVhtKv4VWTwMcJIxm8,192.168.255.112,60410,192.168.255.221,80,tcp,http,0.820819,12946.0,0.0,SH,T,T,0,ScADcFc,101,16998,0,0,,6,84.0,0.0,GET,,Fuzzers,1,123.04783393171942,126176.4164815873,0.0,128,0,0,0,5,1,5,6,5,1,5,5,0,5
1761337151.360023,CyZAix4eZuWr3XyS0e,192.168.255.112,60409,192.168.255.221,80,tcp,http,0.765007,13197.0,0.0,SH,T,T,0,ScADccF,103,17329,0,0,,6,84.0,0.0,GET,,Fuzzers,1,134.63929088230566,138006.5803319447,0.0,128,0,0,0,6,1,6,7,6,1,6,6,0,6
1761337151.367458,Cm3KjI2Ui0Osmgk4xa,192.168.255.112,60412,192.168.255.221,80,tcp,http,1.015193,13465.0,0.0,SH,T,T,0,ScADccF,107,17757,0,0,,6,100.0,0.0,GET,,Fuzzers,1,105.39867788686486,106107.90263526245,0.0,125,0,0,0,7,1,7,8,7,1,7,7,0,7
1761337151.367458,C5Livu3ET0TAzXGtmk,192.168.255.112,60411,192.168.255.221,80,tcp,http,0.825531,10567.0,0.0,SH,T,T,0,ScADcF,85,13979,0,0,,6,30.0,0.0,GET,,Fuzzers,1,102.96403163539588,102401.96915682149,0.0,124,0,0,0,8,1,8,9,8,1,8,8,0,8
