dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
0.017674,tcp,http,SH,13,0,1597.0,0.0,735.5437365621818,0,0,722869.7521783412,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,122,0,2.0,0.0,1,1,1,1,1,1,0,0,1,1,1,0,Normal,0
0.030776,tcp,ftp,SH,13,0,99.0,0.0,422.4070704445022,0,0,25734.33844554198,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7,0,,,1,2,2,1,1,2,1,1,1,2,1,0,Normal,0
0.004576,tcp,,SH,14,0,13484.0,0.0,3059.44055944056,0,0,23573426.57342657,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,963,0,,,1,3,3,1,1,3,0,1,1,3,1,0,Normal,0
0.00706,tcp,,SH,9,1,0.0,0.0,1416.43059490085,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,,,1,4,4,1,1,4,0,1,1,4,1,0,Normal,0
0.020063,tcp,http,SH,13,0,1627.0,0.0,647.9589293724766,0,0,648756.4172855505,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,0,2.0,0.0,2,5,5,2,1,5,0,1,2,5,1,0,Normal,0
0.037747,tcp,ftp,SH,13,0,99.0,0.0,344.3982303229395,0,0,20981.799878136007,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7,0,,,2,6,6,2,1,6,1,2,2,6,1,0,Normal,0
0.011994,tcp,,SH,70,0,89207.0,0.0,5836.251459062865,0,0,59501083.87527097,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1274,0,,,1,7,7,1,1,7,0,2,2,7,1,0,Normal,0
0.007377,tcp,,SF,34,6,0.0,68767.0,5422.25837061136,0,0,0.0,74574488.27436627,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,11461,,,1,1,8,1,1,8,0,2,2,8,1,0,Normal,0
0.024095,tcp,http,SH,13,0,1627.0,0.0,539.5310230338245,0,0,540195.0612160199,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,125,0,2.0,0.0,3,8,9,3,1,9,0,2,3,9,1,0,Normal,0
0.021296,tcp,http,SH,13,0,1392.0,0.0,610.443275732532,0,0,522915.10142749816,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,107,0,2.0,0.0,4,9,10,4,1,10,0,2,4,10,1,0,Normal,0
6.339107,udp,,S0,7,0,4592.0,0.0,1.1042564828137464,0,0,5795.1380218065415,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,656,0,,,1,1,1,1,1,1,0,2,4,1,1,0,Normal,0
0.032572,tcp,ftp,SH,13,1,99.0,0.0,429.8170207540219,0,0,24315.362888370382,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,7,0,,,3,10,11,3,1,11,1,3,4,11,1,0,Normal,0
0.007907,tcp,,SH,45,0,56014.0,0.0,5691.159731883141,0,0,56672821.550524846,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1244,0,,,1,11,12,1,1,12,0,3,4,12,1,0,Normal,0
0.007506,tcp,,SF,23,4,0.0,35574.0,3597.1223021582737,0,0,0.0,37915267.785771385,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,8893,,,1,2,13,1,1,13,0,3,4,13,1,0,Normal,0
0.023791,tcp,http,SH,13,0,1392.0,0.0,546.4251187423815,0,0,468076.1632550124,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,107,0,2.0,0.0,5,12,14,5,1,14,0,3,5,14,1,0,Normal,0
0.033503,tcp,http,SH,13,0,1392.0,0.0,388.0249529892845,0,0,332388.1443452825,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,107,0,2.0,0.0,6,13,15,6,1,15,0,3,6,15,1,0,Normal,0
