ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,http_trans_depth,http_response_body_len,http_method,ftp_user,ftp_password,ftp_command,dns_query,attack_cat,label,rate,sload,dload,smean,dmean,is_sm_ips_ports,is_ftp_login,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_state_ttl,ct_ftp_cmd,ct_flw_http_mthd
1761248431.984017,CwlVoB4wQ52bpFff3j,192.168.255.112,51410,192.168.255.221,80,tcp,http,0.017674,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,735.5437365621818,722869.7521783412,0.0,122,0,0,0,1,1,1,1,1,1,1,1,0,1
1761248432.725243,C1qf2FsOR0GUjAvi,192.168.255.112,58649,192.168.255.221,21,tcp,ftp,0.030776,99.0,0.0,SH,T,T,0,ScADcF,13,631,0,0,,6,,,,admin,<hidden>,EPSV,,Normal,0,422.4070704445022,25734.33844554198,0.0,7,0,0,1,1,1,2,2,1,1,2,2,1,1
1761248432.739246,C2Ycqt1vFHQQZHm3Ul,192.168.255.112,58650,192.168.255.221,64797,tcp,,0.004576,13484.0,0.0,SH,T,T,0,ScADcF,14,14056,0,0,,6,,,,,,,,Normal,0,3059.4405594405594,23573426.57342657,0.0,963,0,0,0,1,1,3,3,1,1,3,3,1,1
1761248432.746823,CxNmPx1n3ON8bjjOpa,192.168.255.112,58651,192.168.255.221,59436,tcp,,0.00706,0.0,0.0,SH,T,T,0,ScAFa,9,372,1,40,,6,,,,,,,,Normal,0,1416.4305949008499,0.0,0.0,0,0,0,0,1,1,4,4,1,1,4,4,1,1
1761248438.005495,CBAez14qqK5cuEPdVf,192.168.255.112,55511,192.168.255.221,80,tcp,http,0.020063,1627.0,0.0,SH,T,T,0,ScADF,13,2159,0,0,,6,2.0,0.0,GET,,,,,Normal,0,647.9589293724766,648756.4172855505,0.0,125,0,0,0,2,1,5,5,2,1,5,5,1,2
1761248443.767203,CMYg1mH6ttduN97Pk,192.168.255.112,50900,192.168.255.221,21,tcp,ftp,0.037747,99.0,0.0,SH,T,T,0,ScADcF,13,631,0,0,,6,,,,admin,<hidden>,EPSV,,Normal,0,344.3982303229395,20981.799878136007,0.0,7,0,0,1,2,1,6,6,2,1,6,6,2,2
1761248443.780793,Cz9Duvqm0QPzLHGhd,192.168.255.112,50901,192.168.255.221,53916,tcp,,0.011994,89207.0,0.0,SH,T,T,0,ScADcF,70,92019,0,0,,6,,,,,,,,Normal,0,5836.251459062865,59501083.87527097,0.0,1274,0,0,0,1,1,7,7,1,1,7,7,2,2
1761248443.796019,CnX4Kt4F8zAR5lJLLd,192.168.255.112,51002,192.168.255.221,54679,tcp,,0.007377,0.0,68767.0,SF,T,T,0,ScAdfFa,34,1372,6,66087,,6,,,,,,,,Normal,0,5422.25837061136,0.0,74574488.27436627,0,11461,0,0,1,1,8,8,1,1,8,1,2,2
1761248454.025777,CaYsoB2Y78Qp4EJONd,192.168.255.112,64913,192.168.255.221,80,tcp,http,0.024095,1627.0,0.0,SH,T,T,0,ScADF,13,2159,0,0,,6,2.0,0.0,GET,,,,,Normal,0,539.5310230338245,540195.0612160199,0.0,125,0,0,0,3,1,9,9,3,1,9,8,2,3
1761248462.057562,CAGY8I3p8kJxLIL3kd,192.168.255.112,49231,192.168.255.221,80,tcp,http,0.021296,1392.0,0.0,SH,T,T,0,ScADF,13,1924,0,0,,6,2.0,0.0,GET,,,,,Normal,0,610.443275732532,522915.10142749816,0.0,107,0,0,0,4,1,10,10,4,1,10,9,2,4
1761248465.262189,CtVo962nD1fzvdMgp2,192.168.255.118,49738,239.255.255.250,3702,udp,,6.339107,4592.0,0.0,S0,T,T,0,D,7,4788,0,0,,17,,,,,,,,Normal,0,1.1042564828137464,5795.1380218065415,0.0,656,0,0,0,1,1,1,1,1,1,1,1,2,4
1761248468.818032,CeAvV9334HYyIfSyMf,192.168.255.112,49672,192.168.255.221,21,tcp,ftp,0.032572,99.0,0.0,SH,T,T,0,ScADcFa,13,631,1,40,,6,,,,admin,<hidden>,EPSV,,Normal,0,429.8170207540219,24315.362888370382,0.0,7,0,0,1,3,1,11,11,3,1,11,10,3,4
1761248468.832097,Cy6DZk3jd8Dmv8BCR4,192.168.255.112,49674,192.168.255.221,26457,tcp,,0.007907,56014.0,0.0,SH,T,T,0,ScADcF,45,57826,0,0,,6,,,,,,,,Normal,0,5691.159731883141,56672821.550524846,0.0,1244,0,0,0,1,1,12,12,1,1,12,11,3,4
1761248468.841743,CkhqrW3oSk2fvgTBnd,192.168.255.112,49675,192.168.255.221,64313,tcp,,0.007506,0.0,35574.0,SF,T,T,0,ScAdfFa,23,932,4,32814,,6,,,,,,,,Normal,0,3597.1223021582737,0.0,37915267.785771385,0,8893,0,0,1,1,13,13,1,1,13,2,3,4
1761248473.084416,CZ8fe91R2JsN0otGn1,192.168.255.112,49167,192.168.255.221,80,tcp,http,0.023791,1392.0,0.0,SH,T,T,0,ScADF,13,1924,0,0,,6,2.0,0.0,GET,,,,,Normal,0,546.4251187423815,468076.1632550124,0.0,107,0,0,0,5,1,14,14,5,1,14,12,3,5
1761248483.11447,C4Rhwq3J19xj2gcgmg,192.168.255.112,59517,192.168.255.221,80,tcp,http,0.033503,1392.0,0.0,SH,T,T,0,ScADF,13,1924,0,0,,6,2.0,0.0,GET,,,,,Normal,0,388.02495298928454,332388.1443452825,0.0,107,0,0,0,6,1,15,15,6,1,15,13,3,6
1761248490.158308,CXquQf3wNq07Nb3ZT9,192.168.255.112,52351,192.168.255.221,80,tcp,http,0.024684,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,526.6569437692432,517582.2395073732,0.0,122,0,0,0,7,1,16,16,7,1,16,14,3,7
1761248496.894401,C9QYwG3XuhwUxF3906,192.168.255.118,55527,239.255.255.250,1900,udp,,2.969029,680.0,0.0,S0,T,T,0,D,4,792,0,0,,17,,,,,,,,Normal,0,1.3472418086856006,1832.2488598124169,0.0,170,0,0,0,1,1,2,2,1,1,2,2,3,7
1761248497.861165,C1b7RfuC4cmWfr5of,192.168.255.112,62658,192.168.255.221,21,tcp,ftp,0.041174,99.0,0.0,SH,T,T,0,ScADcFa,13,631,1,40,,6,,,,admin,<hidden>,EPSV,,Normal,0,340.02040122407345,19235.439840676154,0.0,7,0,0,1,4,1,17,17,4,1,17,15,4,7
1761248497.879148,CfoO7K1E09CAbmcoS7,192.168.255.112,62659,192.168.255.221,34145,tcp,,0.010732,41491.0,0.0,SH,T,T,0,ScADcF,35,42903,0,0,,6,,,,,,,,Normal,0,3261.274692508386,30928811.032426387,0.0,1185,0,0,0,1,1,18,18,1,1,18,16,4,7
1761248497.894097,C4Zay510WHdxFTES18,192.168.255.112,62660,192.168.255.221,12650,tcp,,0.006144,0.0,21051.0,SF,T,T,0,ScAdfFa,18,732,3,21171,,6,,,,,,,,Normal,0,3417.96875,0.0,27410156.25,0,7017,0,0,1,1,19,19,1,1,19,3,4,7
1761248507.18975,CSWRVMmDtxMTFdcf9,192.168.255.112,61182,192.168.255.221,80,tcp,http,0.024269,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,535.6627796777783,526432.8979356381,0.0,122,0,0,0,8,1,20,20,8,1,20,17,4,8
1761248523.9357,ChwFS71ktIjRgKZpj,192.168.255.112,63817,192.168.255.221,21,tcp,ftp,0.077701,99.0,0.0,SH,T,T,0,ScADcFa,13,631,1,40,,6,,,,admin,<hidden>,EPSV,,Normal,0,180.1778612887865,10192.91901005135,0.0,7,0,0,1,5,1,21,21,5,1,21,18,5,8
1761248523.958627,CeOvlG4XENMlYP8wsj,192.168.255.112,63818,192.168.255.221,47830,tcp,,0.028358,32156.0,0.0,SH,T,T,0,ScADcF,28,33288,0,0,,6,,,,,,,,Normal,0,987.3756964525002,9071443.684321884,0.0,1148,0,0,0,1,1,22,22,1,1,22,19,5,8
1761248523.993169,CupiQ02nmUKNImPhql,192.168.255.112,63819,192.168.255.221,38863,tcp,,0.014951,0.0,17557.0,SH,T,T,0,ScAdFa,15,612,2,10300,,6,,,,,,,,Normal,0,1137.0476891177848,0.0,9394421.777807504,0,8778,0,0,1,1,23,23,1,1,23,20,5,8
1761248525.212735,CQDUaG3O2m8WrsPvBg,192.168.255.112,60545,192.168.255.221,80,tcp,http,0.022163,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,586.5631909037586,576456.2559220323,0.0,122,0,0,0,9,1,24,24,9,1,24,21,5,9
1761248543.033847,CqJyFG1cOutPWLrj28,192.168.255.112,53318,192.168.255.221,21,tcp,ftp,0.048347,99.0,0.0,SH,T,T,0,ScADcFa,13,631,1,40,,6,,,,admin,<hidden>,EPSV,,Normal,0,289.5732930688564,16381.574865038161,0.0,7,0,0,1,6,1,25,25,6,1,25,22,6,9
1761248543.05634,C9cgDb4uFDfQxwNzn2,192.168.255.112,53319,192.168.255.221,25405,tcp,,0.014665,94394.0,0.0,SH,T,T,0,ScADcF,74,97366,0,0,,6,,,,,,,,Normal,0,5046.027957722469,51493487.89635186,0.0,1275,0,0,0,1,1,26,26,1,1,26,23,6,9
1761248543.074421,Cso58i29ms1p0w12Mb,192.168.255.112,53320,192.168.255.221,17648,tcp,,0.006452,0.0,73954.0,SF,T,T,0,ScAdfFa,36,1452,6,71274,,6,,,,,,,,Normal,0,6509.609423434594,0.0,91697458.15251085,0,12325,0,0,1,1,27,27,1,1,27,4,6,9
1761248544.249145,CSWwYl1S6pFYGO5kqg,192.168.255.112,57327,192.168.255.221,80,tcp,http,0.033737,1627.0,0.0,SH,T,T,0,ScADF,13,2159,0,0,,6,2.0,0.0,GET,,,,,Normal,0,385.33360998310457,385807.866733853,0.0,125,0,0,0,10,1,28,28,10,1,28,24,6,10
1761248553.290035,CMrL0F3wzOGXGxnnJh,192.168.255.112,51981,192.168.255.221,80,tcp,http,0.026588,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,488.94238002106215,480517.52670377615,0.0,122,0,0,0,11,1,29,29,11,1,29,25,6,11
1761248565.317273,CcTIwl2umffEc61AH1,192.168.255.112,62939,192.168.255.221,80,tcp,http,0.035804,1627.0,0.0,SH,T,T,0,ScADF,13,2159,0,0,,6,2.0,0.0,GET,,,,,Normal,0,363.08792313707966,363534.8005809407,0.0,125,0,0,0,12,1,30,30,12,1,30,26,6,12
1761248567.096317,CYR3ON22qpNOWoei26,192.168.255.112,62941,192.168.255.221,21,tcp,ftp,0.065903,99.0,0.0,SH,T,T,0,ScADcF,13,631,0,0,,6,,,,admin,<hidden>,EPSV,,Normal,0,197.25960881902188,12017.662321897333,0.0,7,0,0,1,7,1,31,31,7,1,31,27,7,12
1761248567.137182,CE577t30qdGxT1YF1,192.168.255.112,62942,192.168.255.221,57885,tcp,,0.009756,46678.0,0.0,SH,T,T,0,ScADcF,39,48250,0,0,,6,,,,,,,,Normal,0,3997.5399753997535,38276342.76342763,0.0,1196,0,0,0,1,1,32,32,1,1,32,28,7,12
1761248567.149821,CJ2lOI1QIvBXfTIKy1,192.168.255.112,62943,192.168.255.221,55550,tcp,,0.009854,0.0,32079.0,SH,T,T,0,ScAdFa,20,812,3,29320,,6,,,,,,,,Normal,0,2334.077531966714,0.0,26043434.138420947,0,10693,0,0,1,1,33,33,1,1,33,29,7,12
1761248581.355953,CKxGpE2ssUkrlHqXIa,192.168.255.112,61134,192.168.255.221,80,tcp,http,0.028408,1392.0,0.0,SH,T,T,0,ScADF,13,1924,0,0,,6,2.0,0.0,GET,,,,,Normal,0,457.61757251478457,392002.25288651086,0.0,107,0,0,0,13,1,34,34,13,1,34,30,7,13
1761248587.066304,CJeW3K253xGuT8fGVh,fe80::a00:27ff:fe4a:27de,133,ff02::2,134,icmp,,0.0,0.0,0.0,OTH,T,F,0,,1,56,0,0,,58,,,,,,,,Normal,0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,1,1,7,13
1761248588.032435,CXwppm2ccv37dRU9Q6,192.168.255.118,61275,239.255.255.250,3702,udp,,5.22064,4592.0,0.0,S0,T,T,0,D,7,4788,0,0,,17,,,,,,,,Normal,0,1.3408317754145085,7036.68515737534,0.0,656,0,0,0,2,1,3,3,2,1,3,3,7,13
1761248588.174652,CtyrYsJ0gOBTlE9mi,192.168.255.112,60754,192.168.255.221,21,tcp,ftp,0.034912,99.0,0.0,SH,T,T,0,ScADcF,13,631,0,0,,6,,,,admin,<hidden>,EPSV,,Normal,0,372.3648029330889,22685.609532538954,0.0,7,0,0,1,8,1,35,35,8,1,35,31,8,13
1761248588.189906,CUm2hX1u9qMkOmT0sb,192.168.255.112,60755,192.168.255.221,45999,tcp,,0.009494,45641.0,0.0,SH,T,T,0,ScADcF,38,47173,0,0,,6,,,,,,,,Normal,0,4002.527912365704,38458816.094375394,0.0,1201,0,0,0,1,1,36,36,1,1,36,32,8,13
1761248588.203107,Ct3Ppd1R9sLcq0Cozd,192.168.255.112,60756,192.168.255.221,11915,tcp,,0.005321,0.0,31042.0,SH,T,T,0,ScAdFa,20,812,3,25321,,6,,,,,,,,Normal,0,4322.495771471527,0.0,46670926.51757188,0,10347,0,0,1,1,37,37,1,1,37,33,8,13
1761248590.395991,CJBEgCnhpOtdfQLc,192.168.255.112,59509,192.168.255.221,80,tcp,http,0.022253,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,584.1908956095808,574124.8371006157,0.0,122,0,0,0,14,1,38,38,14,1,38,34,8,14
1761248593.362409,C5OsMX2f2KDoUZlQwj,192.168.255.102,5353,224.0.0.251,5353,udp,dns,1.015329,86.0,0.0,S0,T,T,0,D,2,142,0,0,,17,,,,,,,_microsoft_mcc._tcp.local,Normal,0,1.9698048612814174,677.6128722808076,0.0,43,0,0,0,1,1,1,1,1,1,1,4,8,14
1761248609.42657,CtNPMg4tDA7M0rLX1,192.168.255.112,55782,192.168.255.221,80,tcp,http,0.024066,1597.0,0.0,SH,T,T,0,ScADF,13,2129,0,0,,6,2.0,0.0,GET,,,,,Normal,0,540.1811684534198,530873.4313969916,0.0,122,0,0,0,15,1,39,39,15,1,39,35,8,15
1761248616.908314,C8UXbwaV232TBXxnj,192.168.255.118,53162,239.255.255.250,1900,udp,,2.969981,680.0,0.0,S0,T,T,0,D,4,792,0,0,,17,,,,,,,,Normal,0,1.3468099627573373,1831.661549349979,0.0,170,0,0,0,2,1,4,4,2,1,4,5,8,15
