iter	Passed	Remaining
0	5	1750
1	14	2100
2	20	2058
3	28	2083
4	33	1970
5	39	1917
6	44	1849
7	49	1816
8	55	1787
9	61	1782
10	67	1770
11	72	1748
12	77	1707
13	81	1664
14	85	1625
15	89	1591
16	93	1555
17	97	1534
18	103	1524
19	107	1508
20	111	1485
21	116	1468
22	121	1466
23	125	1447
24	130	1439
25	135	1430
26	140	1424
27	145	1415
28	151	1411
29	155	1396
30	159	1387
31	164	1376
32	168	1365
33	173	1354
34	177	1344
35	181	1334
36	186	1323
37	190	1310
38	194	1300
39	198	1288
40	201	1275
41	205	1264
42	210	1255
43	214	1247
44	218	1240
45	223	1231
46	226	1221
47	230	1212
48	235	1208
49	240	1202
50	245	1198
51	250	1193
52	255	1190
53	260	1185
54	265	1181
55	270	1177
56	273	1164
57	277	1159
58	282	1154
59	286	1147
60	290	1138
61	295	1133
62	300	1128
63	303	1120
64	308	1115
65	313	1111
66	318	1108
67	323	1104
68	328	1099
69	333	1095
70	338	1090
71	343	1087
72	348	1083
73	352	1076
74	355	1067
75	359	1060
76	364	1055
77	368	1049
78	373	1043
79	377	1037
80	381	1031
81	386	1026
82	391	1022
83	395	1016
84	398	1009
85	403	1003
86	408	999
87	413	995
88	420	995
89	425	993
90	429	985
91	434	983
92	440	980
93	446	977
94	450	971
95	454	965
96	459	961
97	464	957
98	469	953
99	474	949
100	478	943
101	483	938
102	486	931
103	491	925
104	497	923
105	502	919
106	506	913
107	511	908
108	516	905
109	522	902
110	527	897
111	532	893
112	537	888
113	541	883
114	546	879
115	551	875
116	557	871
117	562	868
118	567	863
119	572	859
120	577	855
121	582	849
122	588	846
123	593	841
124	597	837
125	601	830
126	607	827
127	610	820
128	614	815
129	618	808
130	622	802
131	626	797
132	628	788
133	631	782
134	635	776
135	640	772
136	645	767
137	650	763
138	654	757
139	658	752
140	662	747
141	667	742
142	672	738
143	676	733
144	681	728
145	685	723
146	691	719
147	695	714
148	701	710
149	705	705
150	709	699
151	712	694
152	716	688
153	720	683
154	724	678
155	729	672
156	732	667
157	735	661
158	739	655
159	743	650
160	746	644
161	750	639
162	754	634
163	759	629
164	764	625
165	768	620
166	773	615
167	777	611
168	782	606
169	786	601
170	790	596
171	795	591
172	799	587
173	804	582
174	809	578
175	814	573
176	818	568
177	823	564
178	826	558
179	830	553
180	834	548
181	839	544
182	844	539
183	848	534
184	852	529
185	857	525
186	861	520
187	865	515
188	870	511
189	874	506
190	879	501
191	882	496
192	886	491
193	890	486
194	894	481
195	899	477
196	904	472
197	908	468
198	912	463
199	916	458
200	919	452
201	923	448
202	927	443
203	932	438
204	936	433
205	941	429
206	944	424
207	949	420
208	953	415
209	957	410
210	961	405
211	965	400
212	968	395
213	972	390
214	976	386
215	980	381
216	984	376
217	988	371
218	992	367
219	997	362
220	1001	357
221	1005	353
222	1009	348
223	1013	343
224	1017	339
225	1021	334
226	1025	329
227	1029	325
228	1034	320
229	1038	316
230	1042	311
231	1047	306
232	1051	302
233	1055	297
234	1060	293
235	1064	288
236	1069	284
237	1073	279
238	1077	275
239	1081	270
240	1085	265
241	1089	261
242	1093	256
243	1097	251
244	1101	247
245	1106	242
246	1110	238
247	1114	233
248	1119	229
249	1124	224
250	1129	220
251	1133	215
252	1137	211
253	1141	206
254	1145	202
255	1148	197
256	1152	192
257	1156	188
258	1159	183
259	1163	179
260	1168	174
261	1172	170
262	1175	165
263	1179	160
264	1184	156
265	1187	151
266	1192	147
267	1196	142
268	1200	138
269	1205	133
270	1209	129
271	1214	125
272	1218	120
273	1222	115
274	1226	111
275	1230	107
276	1234	102
277	1239	98
278	1244	93
279	1248	89
280	1253	84
281	1257	80
282	1261	75
283	1264	71
284	1268	66
285	1272	62
286	1276	57
287	1280	53
288	1284	48
289	1289	44
290	1294	40
291	1299	35
292	1304	31
293	1309	26
294	1313	22
295	1318	17
296	1322	13
297	1326	8
298	1330	4
299	1335	0
