n_neighbors,alpha,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
3,0.2,99.24966764450073,0.32660886962320773,1.0,0.19517784198465676,1.0,0,0
3,0.5,97.77892971038818,0.3352131365068834,1.0,0.20135498654976586,1.0,0,0
3,0.8,99.61620783805847,0.3352131365068834,1.0,0.20135498654976586,1.0,0,0
5,0.2,97.05953192710876,0.7333291274998422,0.999656002751978,0.5790574872970011,0.9994348686069511,0,0
5,0.5,100.3388614654541,0.8030998509687034,0.9997031760166222,0.6711168675899173,0.9994348686069511,0,0
5,0.8,98.23334908485413,0.8093459052363162,0.9997070026369763,0.6798844276178141,0.9994348686069511,0,0
7,0.2,97.61509370803833,0.8670728955089144,0.9996097307141928,0.7655674006177144,0.9991523029104267,0,0
7,0.5,97.56867861747742,0.9027921971476969,0.9996369796708615,0.8230546976188104,0.9991523029104267,0,0
7,0.8,96.55386304855347,0.9117025313025097,0.9997622444127438,0.8378997708478629,0.9994348686069511,0,0
9,0.2,96.13145661354065,0.9154336321416999,0.999410446881264,0.8444754408687855,0.9985871715173777,0,0
9,0.5,96.53484773635864,0.937579348286077,0.9994361114243825,0.8829331473547873,0.9985871715173777,0,0
9,0.8,96.12404441833496,0.9431698589770574,0.999442399910784,0.8928962837501245,0.9985871715173777,0,0
15,0.2,96.58117818832397,0.965382237791057,0.9994666666666666,0.9335458802431005,0.9985871715173777,0,0
15,0.5,96.35017657279968,0.9708429413271842,0.9994724625448407,0.9438079107302979,0.9985871715173777,0,0
15,0.8,96.63862085342407,0.9715513712648383,0.9986325865151994,0.9459001693733187,0.9963266459451823,0,0
