n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
10,10.0,1,5.5,0.2424957275390625,0.9999701135682916,0.9999501972188941,0.9999900368636047,0.9998587171517379,0.9999243770076711,0.9999476000223927,0.9999473635327852
10,10.0,5,5.5,0.22638301849365233,0.9999701110870604,0.9999701135684399,0.9999701105908139,0.9999152302910426,0.9999426704409282,0.9999623239640197,0.9999583684973361
10,10.0,10,5.5,0.23250889778137207,0.9999402251518206,0.9999003845155319,0.9999800737272093,0.9997174343034756,0.9998487540153423,0.9998951921076131,0.9998947237582586
10,20.0,1,5.5,0.25717308521270754,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,5,5.5,0.23853013515472413,0.9999850545508151,0.9999900378561467,0.9999800737272093,0.9999717434303476,0.9999759085787785,0.9999848434631439,0.9999819355309124
10,20.0,10,5.5,0.23770899772644044,0.9999302491067658,0.9999402350750408,0.9999202949088373,0.9998304605820854,0.9998753777454613,0.9999194575030295,0.9999083614517522
20,10.0,1,5.5,0.37219407558441164,0.9999900373599004,0.9999800757122934,1.0,0.9999434868606951,0.9999717434303476,0.9999800757122934,0.9999806188341805
20,10.0,5,5.5,0.36453938484191895,0.9999900373599004,0.9999800757122934,1.0,0.9999434868606951,0.9999717434303476,0.9999800757122934,0.9999806188341805
20,10.0,10,5.5,0.3536461114883423,0.9999950186799502,0.9999900378561467,1.0,0.9999717434303476,0.9999858717151738,0.9999900378561467,0.9999903094170902
20,20.0,1,5.5,0.40004520416259765,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,5,5.5,0.3889922618865967,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,10,5.5,0.3810075521469116,0.9999750884358047,0.9999900378561467,0.9999601474544185,0.9999717434303476,0.9999659454423832,0.999979649070141,0.9999735609827763
30,10.0,1,5.5,0.5092269897460937,1.0,1.0,1.0,1.0,1.0,1.0,1.0
