n_estimators,max_depth,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc
10,10.0,1,0.16305065155029297,1.0,1.0,1.0,1.0,1.0,1.0
10,10.0,2,0.07577252388000488,1.0,1.0,1.0,1.0,1.0,1.0
10,10.0,3,0.07810664176940918,1.0,1.0,1.0,1.0,1.0,1.0
10,10.0,4,0.08090496063232422,1.0,1.0,1.0,1.0,1.0,1.0
10,10.0,5,0.08044219017028809,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,1,0.07885146141052246,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,2,0.07709884643554688,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,3,0.08411550521850586,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,4,0.08227372169494629,1.0,1.0,1.0,1.0,1.0,1.0
10,20.0,5,0.08745932579040527,1.0,1.0,1.0,1.0,1.0,1.0
10,,1,0.08701205253601074,1.0,1.0,1.0,1.0,1.0,1.0
10,,2,0.08392477035522461,1.0,1.0,1.0,1.0,1.0,1.0
10,,3,0.08282351493835449,1.0,1.0,1.0,1.0,1.0,1.0
10,,4,0.08202838897705078,1.0,1.0,1.0,1.0,1.0,1.0
10,,5,0.08197474479675293,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,1,0.0912022590637207,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,2,0.09765315055847168,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,3,0.09617328643798828,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,4,0.09386563301086426,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,5,0.09431958198547363,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,1,0.10609936714172363,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,2,0.09747076034545898,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,3,0.09488272666931152,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,4,0.11343121528625488,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,5,0.09723830223083496,1.0,1.0,1.0,1.0,1.0,1.0
20,,1,0.09612798690795898,1.0,1.0,1.0,1.0,1.0,1.0
20,,2,0.0957479476928711,1.0,1.0,1.0,1.0,1.0,1.0
20,,3,0.09646797180175781,1.0,1.0,1.0,1.0,1.0,1.0
20,,4,0.0963892936706543,1.0,1.0,1.0,1.0,1.0,1.0
20,,5,0.09252262115478516,1.0,1.0,1.0,1.0,1.0,1.0
30,10.0,1,0.11557769775390625,1.0,1.0,1.0,1.0,1.0,1.0
30,10.0,2,0.10689401626586914,1.0,1.0,1.0,1.0,1.0,1.0
30,10.0,3,0.10458064079284668,1.0,1.0,1.0,1.0,1.0,1.0
30,10.0,4,0.10333395004272461,1.0,1.0,1.0,1.0,1.0,1.0
30,10.0,5,0.10034322738647461,1.0,1.0,1.0,1.0,1.0,1.0
30,20.0,1,0.10460257530212402,1.0,1.0,1.0,1.0,1.0,1.0
30,20.0,2,0.11351156234741211,1.0,1.0,1.0,1.0,1.0,1.0
30,20.0,3,0.10809874534606934,1.0,1.0,1.0,1.0,1.0,1.0
30,20.0,4,0.11428356170654297,1.0,1.0,1.0,1.0,1.0,1.0
30,20.0,5,0.11512351036071777,1.0,1.0,1.0,1.0,1.0,1.0
30,,1,0.10784220695495605,1.0,1.0,1.0,1.0,1.0,1.0
30,,2,0.11080050468444824,1.0,1.0,1.0,1.0,1.0,1.0
30,,3,0.10500979423522949,1.0,1.0,1.0,1.0,1.0,1.0
30,,4,0.10987687110900879,1.0,1.0,1.0,1.0,1.0,1.0
30,,5,0.10520410537719727,1.0,1.0,1.0,1.0,1.0,1.0
40,10.0,1,0.1247248649597168,1.0,1.0,1.0,1.0,1.0,1.0
40,10.0,2,0.12550759315490723,1.0,1.0,1.0,1.0,1.0,1.0
40,10.0,3,0.11122560501098633,1.0,1.0,1.0,1.0,1.0,1.0
40,10.0,4,0.13395166397094727,1.0,1.0,1.0,1.0,1.0,1.0
40,10.0,5,0.12914180755615234,1.0,1.0,1.0,1.0,1.0,1.0
40,20.0,1,0.12420320510864258,1.0,1.0,1.0,1.0,1.0,1.0
40,20.0,2,0.12124061584472656,1.0,1.0,1.0,1.0,1.0,1.0
