n_estimators,max_depth,min_samples_leaf,train_time,f1_score,roc_auc,composite_score
50,10.0,1,0.09754128456115722,1.0,1.0,1.0
50,10.0,5,0.08448910713195801,1.0,1.0,1.0
50,20.0,1,0.09687690734863282,1.0,1.0,1.0
50,20.0,5,0.08543305397033692,1.0,1.0,1.0
100,10.0,1,0.1647010326385498,1.0,1.0,1.0
100,10.0,5,0.1609124183654785,0.9999003785614665,1.0,0.9999501892807332
100,20.0,1,0.1789787769317627,1.0,1.0,1.0
100,20.0,5,0.15969929695129395,1.0,1.0,1.0
150,10.0,1,0.2342864990234375,1.0,1.0,1.0
150,10.0,5,0.22664504051208495,0.9999003785614665,0.9999999999999998,0.9999501892807332
150,20.0,1,0.242881441116333,1.0,1.0,1.0
150,20.0,5,0.22504258155822754,1.0,1.0,1.0
