n_estimators,max_depth,min_samples_leaf,repetition,train_time,f1_score,precision,recall,specificity,roc_auc,pr_auc,composite_score
10,10.0,1,3.0,0.36531442403793335,0.06910045802327995,0.0420576276888287,0.19591836734693877,0.7726603575184017,0.48428936243267023,0.0481962890228103,0.20052870315958682
10,10.0,5,3.0,0.32720123529434203,0.0782415204504728,0.04651724303905572,0.2489795918367347,0.7383806519453208,0.49368012189102767,0.048771964218516865,0.20689786885333908
10,10.0,10,3.0,0.3294116139411926,0.07533823524317015,0.04489395593039302,0.23673469387755103,0.7442691903259726,0.4905019421017618,0.048869573036209646,0.20490325012704722
10,20.0,1,3.0,0.48017961978912355,0.06161872467847623,0.05100231218332035,0.0816326530612245,0.9148264984227129,0.49822957574196874,0.04951385395600109,0.20312071812548202
10,20.0,5,3.0,0.3921849489212036,0.0788634711958314,0.04877829036015545,0.2204081632653061,0.7846477392218717,0.502527951243589,0.049694091407239474,0.2103618379488866
10,20.0,10,3.0,0.36786278486251833,0.07571350826526758,0.04664953052679706,0.2163265306122449,0.7735015772870663,0.4949140539496556,0.04876054526023324,0.2064627024917188
20,10.0,1,3.0,0.5192567110061646,0.07547334984137635,0.04853862631496186,0.17142857142857143,0.8269190325972661,0.4991738020129188,0.049186825163340636,0.20794465900587858
20,10.0,5,3.0,0.40905399322509767,0.0708139418947656,0.044763060741823665,0.17142857142857143,0.806098843322818,0.48876370737569474,0.04845177237423757,0.20267647388156598
20,10.0,10,3.0,0.4021787643432617,0.08192852159244043,0.05098906229593836,0.2122448979591837,0.7890641430073606,0.5006545204832722,0.05011938668898407,0.21090080958823224
20,20.0,1,3.0,0.7353852272033692,0.04633031370363927,0.04530684979865308,0.04897959183673469,0.9444794952681388,0.49672954355243676,0.0491828521131298,0.19741423645640196
20,20.0,5,3.0,0.4573601484298706,0.07387200360419914,0.04779582059991159,0.1673469387755102,0.828391167192429,0.4978690529839696,0.04896592905740574,0.20690232854852483
20,20.0,10,3.0,0.4424795269966125,0.07882574103968924,0.04982284978600284,0.19183673469387755,0.807570977917981,0.49970385630592934,0.049247364032761795,0.20925898712612678
30,10.0,1,3.0,0.5869654178619385,0.06785847021058214,0.04515866772390226,0.13877551020408163,0.8466876971608833,0.4927316036824824,0.04848272096417826,0.2030242649524143
30,10.0,5,3.0,0.4991103053092957,0.0697607426987958,0.0446871053303156,0.16326530612244897,0.8195583596214512,0.49141183287195006,0.048746634910491096,0.20330640349374565
30,10.0,10,3.0,0.4973451018333435,0.07014150056297996,0.04460234307190032,0.1673469387755102,0.8117770767613038,0.489562007768407,0.04858570255156216,0.2027630702943164
30,20.0,1,3.0,0.88928781747818,0.05187179487179487,0.05757115749525617,0.04897959183673469,0.9558359621451104,0.5024077769909225,0.0502238274111488,0.20150113309128873
30,20.0,5,3.0,0.5890805721282959,0.06852831107199162,0.04644714949583602,0.1346938775510204,0.8515247108307046,0.4931092941908624,0.048889179043966086,0.20350892810227336
30,20.0,10,3.0,0.5680188417434693,0.07618234957049355,0.050157827812918665,0.163265306122449,0.834279705573081,0.49877250584776495,0.04934466818416317,0.20809984120080724
40,10.0,1,3.0,0.7377442240715026,0.07557498693335316,0.05060905848307423,0.15102040816326529,0.8527865404837014,0.5019034743234834,0.04945911376462558,0.2089791916738207
40,10.0,5,3.0,0.6204785346984864,0.07165637253708369,0.04613341071408515,0.163265306122449,0.8258675078864354,0.49456640700444215,0.048835842703680764,0.20501954074840223
40,10.0,10,3.0,0.595701003074646,0.07083162274354145,0.0453209762365923,0.163265306122449,0.8216614090431126,0.4924633575827807,0.048680125566287175,0.20399170196420313
40,20.0,1,3.0,1.181724750995636,0.044079900844072324,0.04856250834974239,0.04081632653061224,0.9549947423764458,0.4979055344535291,0.049710831069493686,0.19723208878903173
40,20.0,5,3.0,0.7214812636375427,0.0814078262825235,0.055296078712995286,0.15510204081632653,0.8647739221871713,0.509937981501749,0.05032630633978903,0.21389070470802052
40,20.0,10,3.0,0.673084020614624,0.07762709586772787,0.05195404042399955,0.15510204081632653,0.8515247108307046,0.5033133758235155,0.04984828551081424,0.21026291906735253
50,10.0,1,3.0,0.861772108078003,0.06708484347194024,0.04567854925840169,0.12653061224489795,0.8637223974763406,0.4951265048606193,0.04877765688053034,0.20366300173769666
50,10.0,5,3.0,0.7019141316413879,0.07968619891628412,0.05233835332798579,0.1673469387755102,0.8433228180862251,0.5053348784308677,0.049684966566735794,0.21156868130462922
